52; 8.15;10.38; 0.15;1;0
53; 7.36;10.32; 0.15;1;0
54;11.54;10.33; 0.16;1;0
54;37.53;10.43; 0.16;1;0
54;28.84;10.52; 0.16;1;0
56; 5.59;10.40; 0.16;1;0
56;10.76;10.41; 0.16;1;0
57;20.98;10.47; 0.17;1;0
57;16.31;10.52; 0.17;1;0
57;23.79;10.59; 0.17;1;0
58;33.64;10.68; 0.17;1;0
58;44.72;10.78; 0.17;1;0
58; 9.95;10.77; 0.18;1;0
60; 5.95;10.67; 0.18;1;0
60;27.06;10.74; 0.18;1;0
60;39.52;10.83; 0.18;1;0
60;40.16;10.92; 0.18;1;0
61;42.20;11.01; 0.19;1;0
61;45.27;11.10; 0.19;1;0
61;38.11;11.19; 0.19;1;0
61;19.86;11.24; 0.19;1;0
61;50.47;11.34; 0.20;1;0
62; 8.58;11.30; 0.20;1;0
62;60.72;11.39; 0.20;1;0
64; 6.42;11.30; 0.20;1;0
64;15.03;11.33; 0.20;1;0
66; 4.01;11.13; 0.21;1;0
66;37.72;11.21; 0.21;1;0
67;18.49;11.25; 0.21;1;0
67;25.32;11.31; 0.21;1;0
67;61.22;11.40; 0.21;1;0
67;85.85;11.50; 0.22;1;0
67;41.96;11.58; 0.22;1;0
68;23.34;11.63; 0.22;1;0
68;16.82;11.67; 0.22;1;0
68;67.29;11.76; 0.22;1;0
69;17.37;11.79; 0.23;1;0
69;28.95;11.86; 0.23;1;0
69;62.24;11.94; 0.23;1;0
69;49.14;12.02; 0.23;1;0
69;35.57;12.09; 0.23;1;0
70;19.25;12.13; 0.24;1;0
71; 8.83;12.09; 0.24;1;0
71;42.20;12.17; 0.24;1;0
71;34.58;12.24; 0.24;1;0
72; 7.78;12.18; 0.24;1;0
73; 8.42;12.13; 0.25;1;0
73;10.70;12.12; 0.25;1;0
74; 9.14;12.09; 0.25;1;0
74;116.70;12.18; 0.25;1;0
75;39.52;12.25; 0.26;1;0
75;17.91;12.28; 0.26;1;0
75;42.68;12.35; 0.26;1;0
75;36.61;12.41; 0.26;1;0
76;36.97;12.48; 0.26;1;0
76;29.18;12.53; 0.27;1;0
76;45.82;12.60; 0.27;1;0
77;13.08;12.61; 0.27;1;0
77;16.63;12.63; 0.27;1;0
77;32.90;12.69; 0.27;1;0
77;28.95;12.74; 0.28;1;0
78;28.84;12.80; 0.28;1;0
78;27.26;12.85; 0.28;1;0
78;32.47;12.91; 0.28;1;0
78;30.12;12.96; 0.28;1;0
79; 9.76;12.93; 0.29;1;0
80;12.72;12.93; 0.29;1;0
80;24.49;12.97; 0.29;1;0
80;22.10;13.01; 0.29;1;0
81;25.23;13.05; 0.29;1;0
81;25.06;13.10; 0.30;1;0
81;29.64;13.15; 0.30;1;0
82;23.94;13.19; 0.30;1;0
82;19.81;13.22; 0.30;1;0
82;34.74;13.28; 0.30;1;0
83;22.98;13.31; 0.31;1;0
83;23.20;13.35; 0.31;1;0
83;26.12;13.40; 0.31;1;0
83;21.40;13.43; 0.31;1;0
84;30.24;13.48; 0.32;1;0
84;26.30;13.52; 0.32;1;0
84;24.49;13.56; 0.32;1;0
85;26.58;13.60; 0.32;1;0
85;21.34;13.64; 0.32;1;0
85;26.67;13.68; 0.33;1;0
86;23.71;13.71; 0.33;1;0
86;24.98;13.75; 0.33;1;0
87;10.53;13.73; 0.33;1;0
87;26.30;13.77; 0.33;1;0
88; 8.89;13.72; 0.34;1;0
88;29.18;13.77; 0.34;1;0
88;29.76;13.81; 0.34;1;0
88;25.15;13.85; 0.34;1;0
89;24.65;13.89; 0.34;1;0
89;27.36;13.93; 0.35;1;0
89;26.58;13.97; 0.35;1;0
90;12.30;13.96; 0.35;1;0
90;15.31;13.96; 0.35;1;0
91; 7.01;13.88; 0.35;1;0
92;15.40;13.89; 0.36;1;0
92;25.67;13.93; 0.36;1;0
93;26.39;14.01; 0.36;1;0
93;33.34;14.05; 0.37;1;0
93;30.99;14.10; 0.37;1;0
94;29.29;14.14; 0.37;1;0
94;38.11;14.19; 0.37;1;0
94;13.56;14.18; 0.37;1;0
95;34.10;14.23; 0.38;1;0
95;79.46;14.29; 0.38;1;0
95;27.66;14.33; 0.38;1;0
95;47.27;14.39; 0.38;1;0
95;54.12;14.44; 0.38;1;0
95;47.27;14.50; 0.39;1;0
95;67.29;14.56; 0.39;1;0
96;43.68;14.61; 0.39;1;0
96;78.62;14.67; 0.39;1;0
96;26.21;14.71; 0.39;1;0
97; 9.83;14.67; 0.40;1;0
97;27.77;14.70; 0.40;1;0
97;22.50;14.73; 0.40;1;0
98;13.10;14.72; 0.40;1;0
98;27.06;14.76; 0.40;1;0
99;29.64;14.84; 0.41;1;0
99;27.36;14.87; 0.41;1;0
100; 9.48;14.83; 0.41;1;0
100;16.82;14.84; 0.41;1;0
100;35.07;14.88; 0.42;1;0
101;38.90;14.92; 0.42;1;0
